;coeff
39_sang-mort-main;0.788
58_seigneur-soin-lieux;0.652
32_coeur-amour-aimer;0.521
56_peuple-loi-maître;0.421
54_madame-seigneur-coeur;0.397
33_coeur-ciel-malheureux;0.37
57_trône-régner-empire;0.309
38_combat-gloire-victoire;0.271
12_seigneur-main-mettre;0.251
47_crime-seigneur-coupable;0.21
18_mourir-mort-douleur;0.202
17_dieux-autel-temple;0.194
51_malheur-mal-sort;0.177
43_vertu-gloire-honneur;0.143
20_romain-dieux-sénat;0.14
40_âme-madame-coeur;0.128
28_amour-coeur-aimer;0.124
27_ciel-yeux-terre;0.118
11_dieu-chrétien-ciel;0.103
19_crime-loi-punir;0.102
05_fils-père-mère;0.073
07_dessein-honneur-esprit;0.07
23_grec-trahir-dieux;0.063
45_amour-aimer-cour;0.038
55_peine-dieux-effet;0.027
50_gouverneur-monseigneur-cour;0.01
29_venger-honneur-vengeance;0.01
44_frère-soeur-aimer;0.009
02_dessein-coup-succès;0.007
25_vaisseau-mer-port;0.002
04_partir-fuir-suivre;0.0
06_aimer-amour-coeur;-0.032
08_prince-seigneur-duc;-0.036
46_beau-berger-bois;-0.051
42_bian-pis-aimer;-0.059
34_mal-monsieur-médecin;-0.074
59_manger-boire-table;-0.082
26_lettre-lire-écrire;-0.082
48_père-enfant-monsieur;-0.083
21_père-fille-époux;-0.083
15_chanter-danser-amour;-0.087
35_beau-portrait-yeux;-0.089
24_coeur-amour-aimer;-0.102
00_croire-madame-yeux;-0.103
10_don-honneur-trouver;-0.107
53_amour-beau-yeux;-0.109
30_vers-auteur-pièce;-0.133
09_diable-petit-coup;-0.148
52_monsieur-bien-épouser;-0.202
41_femme-fille-mari;-0.214
31_nuit-porte-sortir;-0.217
49_madame-bon-petit;-0.228
13_homme-esprit-monde;-0.266
01_monsieur-argent-bon;-0.268
03_secret-connaître-craindre;-0.306
37_amour-aimer-âme;-0.307
22_monsieur-marquis-bon;-0.4
16_monsieur-homme-chose;-0.576
14_madame-aimer-monsieur;-0.677
36_bon-monsieur-beau;-0.809
