,label,gears,price,type,true,i0,i1,i2,i3,i4,i5
0,A,11.0,16.0,city,0,0,0,0,0,0,0
1,B,11.0,21.0,city,0,0,0,0,0,0,0
2,C,19.0,47.0,city,0,0,0,0,0,0,0
3,D,26.0,26.0,city,0,0,0,0,0,0,0
4,E,30.0,42.0,city,0,0,0,0,0,0,0
5,F,41.0,26.0,city,0,0,0,0,0,0,0
6,G,19.0,42.0,city,0,0,0,0,0,0,0
7,H,26.0,26.0,city,0,0,0,0,0,0,0
8,I,30.0,42.0,city,0,0,0,0,0,0,0
9,J,30.0,24.0,city,0,0,0,0,0,0,0
10,K,22.0,42.0,city,0,0,0,0,0,0,0
11,L,11.0,24.0,city,0,0,0,0,0,0,0
12,M,26.0,47.0,city,0,0,0,0,0,0,0
13,N,52.0,47.0,trekking,1,0,0,0,0,0,0
14,O,44.0,42.0,city,0,0,0,0,0,0,0
15,P,26.0,63.0,city,1,0,0,0,0,0,0
16,Q,89.0,100.0,trekking,1,1,1,1,1,1,1
17,R,89.0,47.0,trekking,1,0,1,1,1,1,1
18,S,100.0,58.0,trekking,1,1,1,1,1,1,1
19,U,44.0,79.0,trekking,1,1,1,1,1,1,1
20,V,67.0,42.0,trekking,1,0,0,1,1,1,1
21,X,67.0,16.0,trekking,1,0,0,0,0,1,1
22,Y,78.0,32.0,trekking,1,0,0,1,1,1,1
23,Z,100.0,63.0,trekking,1,1,1,1,1,1,1
24,AA,67.0,66.0,trekking,1,1,1,1,1,1,1
25,AB,78.0,21.0,trekking,1,0,0,0,1,1,1
26,AC,78.0,32.0,trekking,1,0,0,1,1,1,1
27,AD,100.0,50.0,trekking,1,0,1,1,1,1,1
